군집,사고유형,건수,비율(%),카메라단속
과잉,기타,1186,42.5,불가
과잉,안전거리미확보,872,31.3,간접
과잉,U턴중,457,16.4,불가
과잉,신호위반,247,8.9,직접
과잉,중앙선침범,19,0.7,간접
과잉,과속,9,0.3,직접
사망위험,기타,1241,43.3,불가
사망위험,안전거리미확보,816,28.4,간접
사망위험,U턴중,452,15.8,불가
사망위험,신호위반,274,9.6,직접
사망위험,과속,66,2.3,직접
사망위험,중앙선침범,20,0.7,간접
부족,기타,10046,47.2,불가
부족,안전거리미확보,6289,29.6,간접
부족,U턴중,3091,14.5,불가
부족,신호위반,1665,7.8,직접
부족,중앙선침범,135,0.6,간접
부족,과속,45,0.2,직접
부족,보행자보호위반,4,0.0,불가
사고다발,기타,1089,33.1,불가
사고다발,안전거리미확보,1022,31.1,간접
사고다발,U턴중,666,20.3,불가
사고다발,신호위반,426,13.0,직접
사고다발,중앙선침범,48,1.5,간접
사고다발,과속,34,1.0,직접
사고다발,보행자보호위반,2,0.1,불가
